datetime,Light
2013-08-31 00:00:04,4.0
2013-08-31 00:00:09,5.0
2013-08-31 00:00:14,4.0
2013-08-31 00:00:19,4.0
2013-08-31 00:00:24,5.0
2013-08-31 00:00:29,5.0
2013-08-31 00:00:34,5.0
2013-08-31 00:00:39,4.0
2013-08-31 00:00:44,5.0
2013-08-31 00:00:49,5.0
2013-08-31 00:00:54,5.0
2013-08-31 00:00:59,4.0
2013-08-31 00:01:05,5.0
2013-08-31 00:01:09,6.0
2013-08-31 00:01:14,5.0
2013-08-31 00:01:19,4.0
2013-08-31 00:01:24,4.0
2013-08-31 00:01:29,4.0
2013-08-31 00:01:38,5.0
2013-08-31 00:01:39,6.0
2013-08-31 00:01:44,4.0
2013-08-31 00:01:49,5.0
2013-08-31 00:01:54,5.0
2013-08-31 00:01:59,4.0
2013-08-31 00:02:04,7.0
2013-08-31 00:02:09,4.0
2013-08-31 00:02:14,4.0
2013-08-31 00:02:19,5.0
2013-08-31 00:02:24,5.0
2013-08-31 00:02:29,5.0
2013-08-31 00:02:34,4.0
2013-08-31 00:02:39,3.0
2013-08-31 00:02:44,5.0
2013-08-31 00:02:49,5.0
2013-08-31 00:02:54,5.0
2013-08-31 00:02:59,4.0
2013-08-31 00:03:04,4.0
2013-08-31 00:03:09,4.0
2013-08-31 00:03:14,5.0
2013-08-31 00:03:19,4.0
2013-08-31 00:03:24,3.0
2013-08-31 00:03:29,3.0
2013-08-31 00:03:34,4.0
2013-08-31 00:03:39,4.0
2013-08-31 00:03:44,4.0
2013-08-31 00:03:49,2.0
2013-08-31 00:03:54,4.0
2013-08-31 00:03:59,3.0
2013-08-31 00:04:04,3.0
2013-08-31 00:04:09,4.0
2013-08-31 00:04:14,4.0
2013-08-31 00:04:19,2.0
2013-08-31 00:04:24,3.0
2013-08-31 00:04:29,4.0
2013-08-31 00:04:34,3.0
2013-08-31 00:04:39,4.0
2013-08-31 00:04:44,3.0
2013-08-31 00:04:49,3.0
2013-08-31 00:04:54,4.0
2013-08-31 00:04:59,3.0
2013-08-31 00:05:04,4.0
2013-08-31 00:05:09,4.0
2013-08-31 00:05:14,4.0
2013-08-31 00:05:19,3.0
2013-08-31 00:05:24,3.0
2013-08-31 00:05:29,4.0
2013-08-31 00:05:34,3.0
2013-08-31 00:05:39,4.0
2013-08-31 00:05:44,3.0
2013-08-31 00:05:49,3.0
2013-08-31 00:05:54,2.0
2013-08-31 00:05:59,3.0
2013-08-31 00:06:04,3.0
2013-08-31 00:06:09,3.0
2013-08-31 00:06:14,4.0
2013-08-31 00:06:19,3.0
2013-08-31 00:06:24,3.0
2013-08-31 00:06:29,2.0
2013-08-31 00:06:34,2.0
2013-08-31 00:06:39,4.0
2013-08-31 00:06:44,4.0
2013-08-31 00:06:49,4.0
2013-08-31 00:06:54,4.0
2013-08-31 00:06:59,3.0
2013-08-31 00:07:04,4.0
2013-08-31 00:07:09,5.0
2013-08-31 00:07:14,4.0
2013-08-31 00:07:19,3.0
2013-08-31 00:07:24,2.0
2013-08-31 00:07:29,2.0
2013-08-31 00:07:34,3.0
2013-08-31 00:07:39,4.0
2013-08-31 00:07:44,3.0
2013-08-31 00:07:49,5.0
2013-08-31 00:07:54,4.0
2013-08-31 00:07:59,3.0
2013-08-31 00:08:04,3.0
2013-08-31 00:08:09,3.0
2013-08-31 00:08:14,4.0
2013-08-31 00:08:19,5.0
2013-08-31 00:08:24,5.0
2013-08-31 00:08:29,4.0
2013-08-31 00:08:34,3.0
2013-08-31 00:08:39,4.0
2013-08-31 00:08:44,3.0
2013-08-31 00:08:49,2.0
2013-08-31 00:08:54,2.0
2013-08-31 00:08:59,4.0
2013-08-31 00:09:04,1.0
2013-08-31 00:09:09,3.0
